ville,departement,code_region,nom_region,prix_m2,prix_estime,loyer_m2,loyer_annuel,rendement_brut,categorie_rendement,score_investissement,nombre_transactions
Angers,49,52,Pays de la Loire,4075.3653638356673,203768.26819178337,13.2641681413788,7958.50088482728,3.905662523144609,Moyen,2.4936497658353414,2602
Angerville,91,11,Île-de-France,2460.6291775337622,123031.4588766881,10.7610207096554,6456.61242579324,5.247936165874916,Bon,0.1492933331707612,70
Angles,85,52,Pays de la Loire,2964.8982201372232,148244.91100686116,10.6611560777822,6396.6936466693205,4.31494990500771,Moyen,0.10041880743945139,69
Anglet,64,75,Nouvelle-Aquitaine,6287.081115088503,314354.0557544251,17.0895319852887,10253.71919117322,3.2618377283426794,Moyen,0.42024088946725446,810
Angoulins,17,75,Nouvelle-Aquitaine,5083.4174322969575,254170.87161484789,14.475394993647,8685.2369961882,3.4170858922611633,Moyen,0.04974298479223426,74
Angres,62,32,Hauts-de-France,1880.9307711872013,94046.53855936007,8.46003957225762,5076.023743354572,5.397353077647509,Bon,0.10043291364648617,35
Angresse,40,75,Nouvelle-Aquitaine,4843.378638782539,242168.93193912698,14.8915173572302,8934.91041433812,3.6895362021847014,Moyen,0.02742368771565555,36
Aniane,34,76,Occitanie,4125.204714961981,206260.23574809905,10.8269439299827,6496.166357989621,3.149500113014145,Moyen,0.03893734174722084,51
Aniche,59,32,Hauts-de-France,2038.9881543602667,101949.40771801333,8.32284573029456,4993.707438176736,4.898221137281215,Moyen,0.3723534512228666,155
Annay,62,32,Hauts-de-France,1829.9188120867525,91495.94060433762,9.16334347886133,5498.006087316799,6.009016412096593,Bon,0.2200120010523096,67
Annecy,74,84,Auvergne-Rhône-Alpes,5660.064055372579,283003.20276862895,18.6591218461016,11195.473107660959,3.9559527942211625,Moyen,1.3461270061842827,1926
Annemasse,74,84,Auvergne-Rhône-Alpes,4085.4246009258754,204271.2300462938,19.3073755637907,11584.42533827442,5.671099809625199,Bon,0.9800196691154242,706
Annet-Sur-Marne,77,11,Île-de-France,3394.4620839339696,169723.10419669846,15.4060787506644,9243.64725039864,5.4463105033041534,Bon,0.09787263268427067,61
Anneyron,26,84,Auvergne-Rhône-Alpes,2225.5908502196626,111279.54251098313,10.1377318575948,6082.63911455688,5.4660892535180325,Bon,0.11788882226172426,48
Annezin,62,32,Hauts-de-France,1742.2222788175716,87111.11394087858,8.84302516275558,5305.815097653348,6.090858970365538,Bon,0.269194204677746,77
Annonay,07,84,Auvergne-Rhône-Alpes,2803.9466756134907,140197.33378067453,10.4856259554659,6291.37557327954,4.487514422436736,Moyen,0.5329424827041256,333
Anor,59,32,Hauts-de-France,1564.0331483715247,78201.65741857623,6.7549447780829,4052.9668668497407,5.182712234801034,Bon,0.17231158846617728,52
